lemma,cat,def,etym,fam,proc,aff,rad,etym_mean,lang,base,etym_fam,label
adiposo,Aggettivo,['ricco di adipe; grasso'],['da adipe'],"['adipe', 'adipico', 'adiposità', 'corpulento', 'grasso', 'obeso', 'pingue', 'magro']",['suffixation'],['-oso'],adip-,"[('adeps, adipis', 'grasso')]",latin,grasso,"['adipe', 'adipico', 'adiposità']",supplétion
cardiaco,Aggettivo,['che è relativo al cuore'],"['dal latino cardiăcus, che deriva dal greco antico καρδία cioè ""cuore""']","['endocardiaco', 'cordiaco']",['suffixation'],['-iaco'],card-,"[('cardiacus', 'cardiaco'), ('kardiakós', 'che concerne il cuore'), ('kardía', 'cuore')]",latin,cuore,['endocardiaco'],supplétion
commestibile,Aggettivo,['che si può mangiare'],"['dal latino tardo comestibĭlis, che deriva da comestus, participio passato di comedĕre ossia mangiare']","['alimentare', 'digeribile', 'edule', 'mangereccio', 'mangiabile', 'nutriente', 'nutritivo', 'accettabile', 'avariato', 'guasto', 'immangiabile', 'indigeribile', 'velenoso']",['suffixation'],['-ibile'],commest-,"[('comestibilis', 'che si può mangiare'), ('comestus', 'mangiare')]",latin,mangiare,[],supplétion
celeste,Aggettivo,['di o relativo al cielo'],"['dal latino caelestis, ossia ""del cielo""']","['celesta', 'celestiale', 'celestina', 'celestino', 'azzurro', 'ceruleo', 'cilestrino', 'blu', 'turchino', 'divino', 'spirituale', 'ultraterreno', 'soprannaturale', 'sovrumano', 'paradisiaco', 'solenne', 'sublime', 'angelico', 'soave', 'celestiale', 'trascendente', 'superno', 'terreno', 'terrestre', 'mondano', 'umano']",['suffixation'],['-este'],cel-,"[('caelestis', 'celeste'), ('caelum', 'cielo')]",latin,cielo,"['celesta', 'celestiale', 'celestina', 'celestino']",supplétion
potabile,Aggettivo,['che si può bere senza avvelenarsi o intossicarsi'],"['dal latino tardo potabilis derivazione del verbo potare, ossia ""bere""; si noti la somiglianza col greco πίνω']","['potabilizzare', 'potabilizzato', 'bevibile', 'puro', 'pulito', 'passabile', 'imbevibile', 'inquinato']",['suffixation'],['-abile'],pot-,"[('potabilis', 'che può essere bevuto'), ('potus', 'bere')]",latin,bere,"['potabilizzare', 'potabilizzato']",supplétion
epatico,Aggettivo,['relativo al fegato'],"['dal latino hepatĭcus, a sua volta dal greco ἡπατικός, che deriva dal greco antico ἧπαρ -ατος cioè ""fegato""']","['enteroepatico', 'gastroepatico', 'intraepatico', 'sopraepatico']",['suffixation'],['-ico'],epat-,"[('hepatĭcus', 'epatico'), ('ἡπατικός', 'epatico'), ('ἧπαρ', 'fegato')]",latin,fegato,"['enteroepatico', 'gastroepatico', 'intraepatico', 'sopraepatico']",supplétion
ematico,Aggettivo,['che riguarda il sangue'],"['dal greco αἱματικός, derivato dal greco antico αἷμα cioè ""sangue""']",['sanguigno'],['suffixation'],['-ico'],emat-,"[('αἱματικός', 'ematico'), ('αἷμα', 'sangue')]",grec ancien,sangue,[],supplétion
auricolare,Aggettivo,['che riguarda l'orecchio'],"['dal latino tardo auricularis che deriva da auricŭla, diminutivo di auris cioè ""orecchio""']",['monoauricolare'],['suffixation'],['-are'],auricul-,"[('auricularis', ""che concerne l’orecchio""), ('auricula', 'orecchio')]",latin,orecchio,['monoauricolare'],supplétion
igneo,Aggettivo,['relativo al fuoco'],"['dal latino igneus, derivato di ignis, fuoco']",[],['suffixation'],['-eo'],ign-,"[('igneus', 'di fuoco'), ('ignis', 'fuoco')]",latin,fuoco,[],supplétion
pluviale,Aggettivo,['che riguarda la pioggia'],['dal latino pluvia'],[],['suffixation'],['-iale'],pluv-,"[('pluvia', 'pioggia')]",latin,pioggia,[],supplétion
urbano,Aggettivo,['relativo alla città'],"['dal latino urbanus che deriva da urbs ossia ""città""']","['campagnolo', 'extracittadino', 'rurale', 'extraurbano', 'maleducato', 'incivile', 'rozzo', 'scortese', 'selvaggio', 'villano', 'inurbano', 'interurbano', 'suburbano', 'urbanamente', 'urbanizzazione', 'urbanità', 'cittadino', 'comunale', 'civico', 'metropolitano', 'perbene', 'cordiale', 'civile', 'cortese', 'educato', 'garbato', 'gentile']",['suffixation'],['-ano'],urb-,"[('urbanus', 'urbano'), ('urbs', 'città')]",latin,città,"['extraurbano, inurbano, interurbano, suburbano, urbanamente, urbanizzazione, urbanità']",supplétion
encefalico,Aggettivo,"[""inerente all'encefalo""]","['deriva da encefalo, dal greco ἐγκέϕαλος cioè ""che è dentro la testa""']",[],['suffixation'],['-ico'],encefal-,"[('ἐγκέϕαλος', 'che è dentro la testa')]",grec ancien,cervello,[],supplétion
equino,Aggettivo,['relativo ai cavalli'],"['al latino equinus che deriva da equus cioè ""«cavallo"" ']","['cavallo', 'asino', 'mulo', 'equestre', 'cavallino', 'equinismo']",['suffixation'],['-ino'],equ-,"[('equinus', 'equino'), ('equus', 'cavallo')]",latin,cavallo,"['equestre', 'equinismo']",supplétion
bovino,Aggettivo,"['relativo a o derivato da buoi, mucche etc.']","['dal latino tardo bovīnus, derivazione di bos cioè ""bove""']",[],['suffixation'],['-ino'],bov-,"[('bovīnus', 'proprio del bue'), ('bōs, bovem; boe(m); bovum', 'bue')]",latin,bue,[],supplétion
gastrico,Aggettivo,['relativo allo stomaco'],['da gastro-'],[],['suffixation'],['-ico'],gastr-,"[('γαστήρ', 'stomaco')]",grec ancien,stomaco,[],supplétion
eolico,Aggettivo,['che riguarda il vento'],['(vento) dal nome di Eolo re dei venti'],['eolio'],['suffixation'],['-ico'],eol-,"[('Aeolus', 'dio dei venti')]",latin,vento,['eolio'],supplétion
bellico,Aggettivo,['che riguarda la guerra'],"['dal latino bellicus derivazione bellum, ""guerra""']","['guerresco', 'militare', 'militarizzato', 'antibellico', 'pacifico', 'prebellico']",['suffixation'],['-ico'],bell-,"[('bellicus', 'guerresco'), ('bellum', 'guerra')]",latin,guerra,"['antibellico', 'prebellico']",supplétion
insulare,Aggettivo,"[""dell'isola, di isola""]",['dal latino insulāris derivato da insŭla isola'],['isolano'],['suffixation'],['-are'],insul-,"[('insulāris', 'insulaire'), ('insŭla', 'isola')]",latin,insula,['isolano'],supplétion
aviario,Aggettivo,['che è attinente agli uccelli'],"['dal latino aviarius e aviarium, derivazione di avis cioè ""uccello""']",[],['suffixation'],['-ario'],avi-,"[('aviārius', 'proprio degli uccelli'), ('avis', 'uccello')]",latin,uccello,[],supplétion
ittico,Aggettivo,"['Che riguarda i pesci, nel loro complesso, soprattutto con riferimento a una determinata regione o al loro valore economico.']","['Dal greco antico ἰχϑυϊκός; derivato di ἰχϑύς (ichthýs) significante ""pesce"".']",[],['suffixation'],['-ico'],itt-,"[('ἰχϑυϊκός', 'ittico'), ('ἰχϑύς (ichthýs)', 'pesce')]",grec ancien,pesce,[],supplétion
