lemma,cat,def,etym,fam
adiposo,Aggettivo,['ricco di adipe; grasso'],['da adipe'],"['adipe', 'adipico', 'adiposità', 'corpulento', 'grasso', 'obeso', 'pingue', 'magro']"
cardiaco,Aggettivo,['che è relativo al cuore'],"['dal latino cardiăcus, che deriva dal greco antico καρδία cioè ""cuore""']","['endocardiaco', 'cordiaco']"
commestibile,Aggettivo,['che si può mangiare'],"['dal latino tardo comestibĭlis, che deriva da comestus, participio passato di comedĕre ossia mangiare']","['alimentare', 'digeribile', 'edule', 'mangereccio', 'mangiabile', 'nutriente', 'nutritivo', 'accettabile', 'avariato', 'guasto', 'immangiabile', 'indigeribile', 'velenoso']"
celeste,Aggettivo,['di o relativo al cielo'],"['dal latino caelestis, ossia ""del cielo""']","['celesta', 'celestiale', 'celestina', 'celestino', 'azzurro', 'ceruleo', 'cilestrino', 'blu', 'turchino', 'divino', 'spirituale', 'ultraterreno', 'soprannaturale', 'sovrumano', 'paradisiaco', 'solenne', 'sublime', 'angelico', 'soave', 'celestiale', 'trascendente', 'superno', 'terreno', 'terrestre', 'mondano', 'umano']"
potabile,Aggettivo,['che si può bere senza avvelenarsi o intossicarsi'],"['dal latino tardo potabilis derivazione del verbo potare, ossia ""bere""; si noti la somiglianza col greco πίνω']","['potabilizzare', 'potabilizzato', 'bevibile', 'puro', 'pulito', 'passabile', 'imbevibile', 'inquinato']"
epatico,Aggettivo,['relativo al fegato'],"['dal latino hepatĭcus, a sua volta dal greco ἡπατικός, che deriva dal greco antico ἧπαρ -ατος cioè ""fegato""']","['enteroepatico', 'gastroepatico', 'intraepatico', 'sopraepatico']"
ematico,Aggettivo,['che riguarda il sangue'],"['dal greco αἱματικός, derivato dal greco antico αἷμα cioè ""sangue""']",['sanguigno']
auricolare,Aggettivo,['che riguarda l'orecchio'],"['dal latino tardo auricularis che deriva da auricŭla, diminutivo di auris cioè ""orecchio""']",['monoauricolare']
igneo,Aggettivo,['relativo al fuoco'],"['dal latino igneus, derivato di ignis, fuoco']",[]
pluviale,Aggettivo,['che riguarda la pioggia'],['dal latino pluvia'],[]
urbano,Aggettivo,['relativo alla città'],"['dal latino urbanus che deriva da urbs ossia ""città""']","['campagnolo', 'extracittadino', 'rurale', 'extraurbano', 'maleducato', 'incivile', 'rozzo', 'scortese', 'selvaggio', 'villano', 'inurbano', 'interurbano', 'suburbano', 'urbanamente', 'urbanizzazione', 'urbanità', 'cittadino', 'comunale', 'civico', 'metropolitano', 'perbene', 'cordiale', 'civile', 'cortese', 'educato', 'garbato', 'gentile']"
encefalico,Aggettivo,"[""inerente all'encefalo""]","['deriva da encefalo, dal greco ἐγκέϕαλος cioè ""che è dentro la testa""']",[]
equino,Aggettivo,['relativo ai cavalli'],"['al latino equinus che deriva da equus cioè ""«cavallo"" ']","['cavallo', 'asino', 'mulo', 'equestre', 'cavallino', 'equinismo']"
bovino,Aggettivo,"['relativo a o derivato da buoi, mucche etc.']","['dal latino tardo bovīnus, derivazione di bos cioè ""bove""']",[]
gastrico,Aggettivo,['relativo allo stomaco'],['da gastro-'],[]
eolico,Aggettivo,['che riguarda il vento'],['(vento) dal nome di Eolo re dei venti'],['eolio']
bellico,Aggettivo,['che riguarda la guerra'],"['dal latino bellicus derivazione bellum, ""guerra""']","['guerresco', 'militare', 'militarizzato', 'antibellico', 'pacifico', 'prebellico']"
insulare,Aggettivo,"[""dell'isola, di isola""]",['dal latino insulāris derivato da insŭla isola'],['isolano']
aviario,Aggettivo,['che è attinente agli uccelli'],"['dal latino aviarius e aviarium, derivazione di avis cioè ""uccello""']",[]
ittico,Aggettivo,"['Che riguarda i pesci, nel loro complesso, soprattutto con riferimento a una determinata regione o al loro valore economico.']","['Dal greco antico ἰχϑυϊκός; derivato di ἰχϑύς (ichthýs) significante ""pesce"".']",[]
luminoso,Aggettivo,['che emette luce'],"['dal latino luminosus, che deriva da lumen cioè ""lume""']","['brillante', 'fulgido', 'lucente', 'rilucente', 'risplendente', 'sfavillante', 'sfolgorante', 'smagliante', 'luccicante', 'scintillante', 'splendente', 'splendido', 'fosforescente', 'luminescente', 'iridescente', 'arioso', 'chiaro', 'illuminato', 'limpido', 'soleggiato', 'trasparente', 'ammirevole', 'elevato', 'geniale', 'lodevole', 'evidente', 'innegabile', 'lampante', 'chiaro', 'palese', 'manifesto', 'inconfutabile', 'straordinario', 'eccellente', 'nobile', 'esemplare', 'lodevole', 'encomiabile', 'educativo', 'felice', 'gioioso', 'ridente', 'radioso', 'mirabile', 'appannato', 'offuscato', 'opaco', 'buio', 'scuro', 'tenebroso', 'annebbiato', 'confuso', 'oscuro', 'dubbio', 'incerto', 'ambiguo', 'equivoco', 'basso', 'vile', 'ignobile', 'spregevole', 'triste', 'infelice', 'depresso', 'censurabile', 'riprovevole', 'luminosamente', 'luminosità']"
ovino,Aggettivo,['relativo ai mammiferi appartenenti al genere dei caprini'],"['deriva dal latino tardo ovinus, derivazione di ovis cioè ""pecora""']","['pecora', 'agnello', 'capra', 'supino', 'ebete']"
attero,Sostantivo,['ciascun insetto appartenente agli Atteri'],"['dal greco ἄπτερος, formato da ἀ-cioè ""senza"" e πτερόν ossia ""ala""']",['aptero']
