source,lemma,aff,score
G,actinique,['-ique'],1
NS,actinique,['-ique'],1
S,actinique,['-ique'],1
G,adipeux,['-eux'],1
NS,adipeux,['-eux'],1
S,adipeux,['-eux'],1
G,an,[],1
NS,an,['annus'],0
S,an,['annus'],0
G,antifébrile,"['anti-', '-ile']",1
NS,antifébrile,"['anti-', 'fébrile']",0.5
S,antifébrile,"['anti-', 'fébrile']",0.5
G,arbre,[],1
NS,arbre,['ar-'],0
S,arbre,['ar-'],0
G,bibition,['-ion'],1
NS,bibition,['bibitio'],0
S,bibition,['bibitio'],0
G,boire,[],1
NS,boire,['bev-'],0
S,boire,['bev-'],0
G,bois,[],1
NS,bois,['*'],0
S,bois,['*'],0
G,caprin,['-in'],1
NS,caprin,"['cap-', 'caper-', 'capra-']",0
S,caprin,"['cap-', 'caper-', 'capra-']",0
G,cardiaque,['-aque'],1
NS,cardiaque,['cardiacus'],0
S,cardiaque,['cardiacus'],0
G,carnassier,['-ier'],1
NS,carnassier,['-ièr'],0.5
S,carnassier,['-ièr'],0.5
G,caséeux,['-eux'],1
NS,caséeux,['caseus'],0
S,caséeux,['caseus'],0
G,chaise,[],1
NS,chaise,"['assibilation dialectale', 'latin']",0
S,chaise,"['assibilation dialectale', 'latin']",0
G,chat,[],1
NS,chat,['cat-'],0
S,chat,['cat-'],0
G,chien,[],1
NS,chien,['can-'],0
S,chien,['can-'],0
G,chthonien,['-ien'],1
NS,chthonien,['khthónios'],0
S,chthonien,['khthónios'],0
G,ciel,[],1
NS,ciel,['cael-'],0
S,ciel,['cael-'],0
G,comestible,['-ible'],1
NS,comestible,"['com-', 'est-']",0
S,comestible,"['com-', 'est-']",0
G,corps,[],1
NS,corps,['cor-'],0
S,corps,['cor-'],0
G,coturnisme,['-isme'],1
NS,coturnisme,['coturn-'],0
S,coturnisme,['coturn-'],0
G,crustacé,['-acé'],1
NS,crustacé,['-acé'],1
S,crustacé,['-acé'],1
G,céleste,['-este'],1
NS,céleste,['cael-'],0
S,céleste,['cael-'],0
G,céphalaire,['-aire'],1
NS,céphalaire,['-aire'],1
S,céphalaire,['-aire'],1
G,cérémonie,[],1
NS,cérémonie,['caer-'],0
S,cérémonie,['caer-'],0
