source,lemma,base,score
G,actinique,rayon,1
NS,actinique,actis,0
S,actinique,actis,0
G,adipeux,graisse,1
NS,adipeux,adip-,0
S,adipeux,adip-,0
G,an,,1
NS,an,,1
S,an,,1
G,antifébrile,fièvre,1
NS,antifébrile,antifébrile,0
S,antifébrile,antifébrile,0
G,arbre,,1
NS,arbre,arbre,0
S,arbre,arbre,0
G,bibition,boire,1
NS,bibition,bibition,0
S,bibition,bibition,0
G,boire,,1
NS,boire,bevere,0
S,boire,bevere,0
G,bois,,1
NS,bois,bois,0
S,bois,bois,0
G,caprin,chèvre,1
NS,caprin,capra,0
S,caprin,capra,0
G,cardiaque,cœur,1
NS,cardiaque,cardiaque,0
S,cardiaque,cardiaque,0
G,carnassier,chair,1
NS,carnassier,carnass-,0
S,carnassier,carnass-,0
G,caséeux,fromage,1
NS,caséeux,fromage,1
S,caséeux,fromage,1
G,chaise,,1
NS,chaise,casa,0
S,chaise,casa,0
G,chat,,1
NS,chat,chat,0
S,chat,chat,0
G,chien,,1
NS,chien,chien,0
S,chien,chien,0
G,chthonien,terre,1
NS,chthonien,chthón,0
S,chthonien,chthón,0
G,ciel,,1
NS,ciel,ciel,0
S,ciel,ciel,0
G,comestible,manger,1
NS,comestible,comestible,0
S,comestible,comestible,0
G,corps,,1
NS,corps,corps,0
S,corps,corps,0
G,coturnisme,caille,1
NS,coturnisme,caille,1
S,coturnisme,caille,1
G,crustacé,croûte,1
NS,crustacé,crusta,0
S,crustacé,crusta,0
G,céleste,ciel,1
NS,céleste,ciel,1
S,céleste,ciel,1
G,céphalaire,tête,1
NS,céphalaire,céphale,0
S,céphalaire,céphale,0
G,cérémonie,,1
NS,cérémonie,cérémonie,0
S,cérémonie,cérémonie,0
G,dent,,1
NS,dent,dent,0
S,dent,dent,0
G,divitisme,riche,1
NS,divitisme,divis,0
S,divitisme,divis,0
G,eau,,1
NS,eau,eau,0
S,eau,eau,0
G,essai,,1
NS,essai,exagium,0
S,essai,exagium,0
G,fabisme,fève,1
NS,fabisme,faba,0
S,fabisme,faba,0
G,fauteuil,,1
NS,fauteuil,faldestuel,0
S,fauteuil,faldestuel,0
G,feu,,1
NS,feu,feu,0
S,feu,feu,0
G,fin,,1
NS,fin,fin,0
S,fin,fin,0
G,foliacé,feuille,1
NS,foliacé,foli-,0
S,foliacé,foli-,0
G,funiculaire,corde,1
NS,funiculaire,funicule,0
S,funiculaire,funicule,0
G,gibbeux,bosse,1
NS,gibbeux,,0
S,gibbeux,,0
G,gigantesque,géant,1
NS,gigantesque,gigante,0
S,gigantesque,gigante,0
G,gravidisme,enceinte,1
NS,gravidisme,gravid,0
S,gravidisme,gravid,0
G,groupe,,1
NS,groupe,groupe,0
S,groupe,groupe,0
G,humain,homme,1
NS,humain,homo,0
S,humain,homo,0
G,igné,feu,1
NS,igné,igné,0
S,igné,igné,0
G,jour,,1
NS,jour,jour,0
S,jour,jour,0
G,kérosène,cire,1
NS,kérosène,cire,1
S,kérosène,cire,1
G,lactique,lait,1
NS,lactique,lact-,0
S,lactique,lact-,0
G,lait,,1
NS,lait,lac,0
S,lait,lac,0
G,lectrice,lire,1
NS,lectrice,lect-,0
S,lectrice,lect-,0
G,ligneux,bois,1
NS,ligneux,,0
S,ligneux,bois,1
G,lire,,1
NS,lire,lègere,0
S,lire,lègere,0
G,locataire,louer,1
NS,locataire,locat,0
S,locataire,locat,0
G,main,,1
NS,main,main,0
S,main,main,0
G,malachite,mauve,1
NS,malachite,malachite,0
S,malachite,malachite,0
G,manger,,1
NS,manger,manger,0
S,manger,manger,0
G,marmoréen,marbre,1
NS,marmoréen,,0
S,marmoréen,,0
G,mer,,1
NS,mer,mer,0
S,mer,mer,0
G,mois,,1
NS,mois,mois,0
S,mois,mois,0
G,mont,,1
NS,mont,mont,0
S,mont,mont,0
G,mot,,1
NS,mot,mot,0
S,mot,mot,0
G,myrmicéen,fourmi,1
NS,myrmicéen,,0
S,myrmicéen,,0
G,nez,,1
NS,nez,nez,0
S,nez,nez,0
G,nom,,1
NS,nom,nom,0
S,nom,nom,0
G,nord,,1
NS,nord,nor,0
S,nord,nor,0
G,nucléé,noyau,1
NS,nucléé,nucleé,0
S,nucléé,nucleé,0
G,nutrition,nourrir,1
NS,nutrition,nourrir,1
S,nutrition,nourrir,1
G,oblation,offrir,1
NS,oblation,offrande,0.5
S,oblation,offrande,0.5
G,oiseau,,1
NS,oiseau,oisel,0
S,oiseau,oisel,0
G,ordre,,1
NS,ordre,ordre,0
S,ordre,ordre,0
G,ovoïde,œuf,1
NS,ovoïde,ove,0.5
S,ovoïde,ove,0.5
G,pain,,1
NS,pain,pain,0
S,pain,pain,0
G,pancalisme,beau,1
NS,pancalisme,,0
S,pancalisme,,0
G,patibulaire,gibet,1
NS,patibulaire,patibulum,0
S,patibulaire,patibulum,0
G,phrase,,1
NS,phrase,phrase,0
S,phrase,phrase,0
G,pied,,1
NS,pied,pié,0
S,pied,pié,0
G,pierre,,1
NS,pierre,pierre,0
S,pierre,pierre,0
G,plage,,1
NS,plage,plaga,0
S,plage,plaga,0
G,polyadelphe,frère,1
NS,polyadelphe,frère,1
S,polyadelphe,frère,1
G,pomme,,1
NS,pomme,pomme,0
S,pomme,pomme,0
G,porte,,1
NS,porte,porte,0
S,porte,porte,0
G,potable,boire,1
NS,potable,pot-,0
S,potable,pot-,0
G,pétré,pierre,1
NS,pétré,pierre,1
S,pétré,pierre,1
G,rare,,1
NS,rare,rare,0
S,rare,rare,0
G,rupestre,roche,1
NS,rupestre,roche,1
S,rupestre,roche,1
G,région,,1
NS,région,région,0
S,région,région,0
G,scolaire,école,1
NS,scolaire,école,1
S,scolaire,école,1
G,sel,,1
NS,sel,bois,0
S,sel,FAIL,0
G,sigillaire,sceau,1
NS,sigillaire,signum,0
S,sigillaire,signum,0
G,siège,,1
NS,siège,sediculum,0
S,siège,sediculum,0
G,strabisme,loucher,1
NS,strabisme,strab-,0
S,strabisme,strab-,0
G,studieux,étude,1
NS,studieux,stud-,0
S,studieux,stud-,0
G,sud,,1
NS,sud,sud,0
S,sud,sud,0
G,table,,1
NS,table,table,0
S,table,table,0
G,tasse,,1
NS,tasse,,1
S,tasse,,1
G,terre,,1
NS,terre,terre,0
S,terre,terre,0
G,thalassique,mer,1
NS,thalassique,,0
S,thalassique,,0
G,thélite,mamelle,1
NS,thélite,mamelle,1
S,thélite,mamelle,1
G,trousse,,1
NS,trousse,trous,0
S,trousse,trous,0
G,vent,,1
NS,vent,ventum,0
S,vent,ventum,0
G,verbe,,1
NS,verbe,,1
S,verbe,,1
G,viaire,voie,1
NS,viaire,voie,1
S,viaire,voie,1
G,visible,voir,1
NS,visible,visible,0
S,visible,visible,0
G,école,,1
NS,école,école,0
S,école,école,0
G,évier,eau,1
NS,évier,aiguière,0.5
S,évier,aiguière,0.5
