source,lemma,etym_fam,score
G,actinique,"['inactinique', 'actinisme', 'actinite']",1
NS,actinique,"['inactinique', 'radiable', 'radial', 'radialité', 'radian', 'radiant', 'radiateur', 'radiatif', 'radiation', 'radier', 'radiolaire', 'radiolarite', 'radius', 'radié', 'rayon', 'rayonnage', 'rayonnant', 'rayonnement', 'rayonner', 'rayonnisme', 'rayonniste']",0
S,actinique,"['inactinique', 'radiable', 'radial', 'radialité', 'radian', 'radiant', 'radiateur', 'radiatif', 'radiation', 'radier', 'radiolaire', 'radiolarite', 'radius', 'radié', 'rayon', 'rayonnage', 'rayonnant', 'rayonnement', 'rayonner', 'rayonnisme', 'rayonniste']",0
G,adipeux,['adiposité'],1
NS,adipeux,"['dégraissage', 'dégraissant', 'dégraissement', 'dégraisser', 'dégraisseur', 'dégraisseuse', 'engrais', 'engraissage', 'engraissement', 'engraisser', 'engraisseur', 'graissage', 'graisse', 'graisser', 'graissette', 'graisseur', 'graisseux', 'graissier', 'graissé', 'grasset', 'rengraisser', 'stéatite', 'adipeux', 'adiposité']",0
S,adipeux,"['dégraissage', 'dégraissant', 'dégraissement', 'dégraisser', 'dégraisseur', 'dégraisseuse', 'engrais', 'engraissage', 'engraissement', 'engraisser', 'engraisseur', 'graissage', 'graisse', 'graisser', 'graissette', 'graisseur', 'graisseux', 'graissier', 'graissé', 'grasset', 'rengraisser', 'stéatite', 'adipeux', 'adiposité']",0
G,an,[],1
NS,an,"['année', 'lustre', 'olympiade', 'siècle', 'annal', 'annalité', 'annuaire', 'annualité', 'annuel', 'décennaire', 'pluriannuel', 'quadriennal', 'quartanier', 'quartannier', 'semi-annuel', 'septennalisme', 'triennal', 'trisannuel']",0
S,an,"['année', 'lustre', 'olympiade', 'siècle', 'annal', 'annalité', 'annuaire', 'annualité', 'annuel', 'décennaire', 'pluriannuel', 'quadriennal', 'quartanier', 'quartannier', 'semi-annuel', 'septennalisme', 'triennal', 'trisannuel']",0
G,antifébrile,"['fébrile', 'fébriliser', 'fébrilité']",1
NS,antifébrile,"['antipyrétique', 'enfièvrement', 'enfiévrer', 'enfiévré', 'fièvre', 'fiévrette', 'fiévreux', 'fébrile', 'fébriliser', 'fébrilité', 'pyrétique']",0
S,antifébrile,"['antipyrétique', 'enfièvrement', 'enfiévrer', 'enfiévré', 'fièvre', 'fiévrette', 'fiévreux', 'fébrile', 'fébriliser', 'fébrilité', 'pyrétique']",0
G,arbre,[],1
NS,arbre,"['arborescence', 'arbrisseau', 'arbuste', '🌲', '🌳', '🌴', '🎋', '\\U0001fabe', 'arboricole', 'arboriculture', 'arborisation', 'arborisé', 'arboriste', 'adryade', 'hamadryade', 'dendrochronologie', 'dendroïde', 'dendritique', 'kodama', 'arborer', 'arboriser', 'arbraie', 'arbre', 'arbret', 'arbreter', 'arbrier', 'arbrot', 'arbrée', 'dendrite', 'désherbage', 'désherbant', 'désherbement', 'désherber', 'enherbage', 'enherbement', 'enherber', 'erbee', 'herbage', 'herbagement', 'herbager', 'herbagère', 'herbaie', 'herbaçaie', 'herbe', 'herbelette', 'herber', 'herberaie', 'herbette', 'herbeux', 'herbier', 'herbillette', 'herbu']",0
S,arbre,"['arborescence', 'arbrisseau', 'arbuste', '🌲', '🌳', '🌴', '🎋', '\\U0001fabe', 'arboricole', 'arboriculture', 'arborisation', 'arborisé', 'arboriste', 'adryade', 'hamadryade', 'dendrochronologie', 'dendroïde', 'dendritique', 'kodama', 'arborer', 'arboriser', 'arbraie', 'arbre', 'arbret', 'arbreter', 'arbrier', 'arbrot', 'arbrée', 'dendrite', 'désherbage', 'désherbant', 'désherbement', 'désherber', 'enherbage', 'enherbement', 'enherber', 'erbee', 'herbage', 'herbagement', 'herbager', 'herbagère', 'herbaie', 'herbaçaie', 'herbe', 'herbelette', 'herber', 'herberaie', 'herbette', 'herbeux', 'herbier', 'herbillette', 'herbu']",0
G,bibition,[],1
NS,bibition,"['boire', 'bu', 'buvable', 'buvard', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'imbuvable', 'impotable', 'potabilité', 'potable', 'potion', 'reboire']",0
S,bibition,"['boire', 'bu', 'buvable', 'buvard', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'imbuvable', 'impotable', 'potabilité', 'potable', 'potion', 'reboire']",0
G,boire,[],1
NS,boire,"['buvard', 'déboire', 'pourboire', 'reboire', 'bessonner', 'écluser', 'picoler', 's’enivrer', 'imbiber', 'imprégner', 'beuverie', 'boisson', 'breuvage', 'buvable', 'fourbu', 'imbuvable', 'bibition', 'boire', 'bu', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'impotable', 'potabilité', 'potable', 'potion']",0
S,boire,"['buvard', 'déboire', 'pourboire', 'reboire', 'bessonner', 'écluser', 'picoler', 's’enivrer', 'imbiber', 'imprégner', 'beuverie', 'boisson', 'breuvage', 'buvable', 'fourbu', 'imbuvable', 'bibition', 'boire', 'bu', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'impotable', 'potabilité', 'potable', 'potion']",0
G,bois,[],1
NS,bois,[],1
S,bois,[],1
G,caprin,['caprinette'],1
NS,caprin,"['cabrette', 'caprin', 'caprinette', 'chabrette', 'chevrette', 'chevrettière', 'chevreuil', 'chevrier']",0
S,caprin,"['cabrette', 'caprin', 'caprinette', 'chabrette', 'chevrette', 'chevrettière', 'chevreuil', 'chevrier']",0
G,cardiaque,"['intracardiaque', 'carditique', 'cardiaire', 'cardiaque', 'cardite']",1
NS,cardiaque,"['intracardiaque', 'carditique', 'cardiaire', 'cardiaque', 'cardite']",1
S,cardiaque,"['intracardiaque', 'carditique', 'cardiaire', 'cardiaque', 'cardite']",1
G,carnassier,"['carnassièrement', 'carnasserie', 'carnassier']",1
NS,carnassier,"['carnassièrement', 'carnivore', 'prédateur', 'herbivore', 'végétarien', 'carnaire', 'carnasserie', 'carnassier', 'carnassière', 'carnier', 'carné', 'chair', 'charnalité', 'charnel', 'charnier', 'charnière', 'charnu']",0
S,carnassier,"['carnassièrement', 'carnivore', 'prédateur', 'herbivore', 'végétarien', 'carnaire', 'carnasserie', 'carnassier', 'carnassière', 'carnier', 'carné', 'chair', 'charnalité', 'charnel', 'charnier', 'charnière', 'charnu']",0
