source,lemma,etym_mean,score
G,actinique,"[('aktis, aktinos', 'rayon')]",1
NS,actinique,"[['grec ancien', 'rayon']]",0
S,actinique,"[['grec ancien', 'rayon']]",0
G,adipeux,"[('adeps, adipis', 'graisse')]",1
NS,adipeux,"[['latin', 'graisse']]",0
S,adipeux,"[['latin', 'graisse']]",0
G,an,[],1
NS,an,[],1
S,an,[],1
G,antifébrile,"[('febrilis', 'agité par la fièvre'), ('febris', 'fièvre')]",1
NS,antifébrile,"[['fébrile', 'fièvre'], ['fièvre', 'fever']]",0
S,antifébrile,"[['fébrile', 'fièvre'], ['fièvre', 'fever']]",0
G,arbre,[],1
NS,arbre,"[['arbor', 'arbre'], ['ab', 'haut'], ['or', 'ou'], ['bor', 'b'], ['bre', 'arbre']]",0
S,arbre,"[['arbor', 'arbre'], ['ab', 'haut'], ['or', 'ou'], ['bor', 'b'], ['bre', 'arbre']]",0
G,bibition,"[('bibitio', 'action de boire'), ('bibitus', 'boire')]",1
NS,bibition,[],0
S,bibition,[],0
G,boire,[],1
NS,boire,"[['bibere', 'boire'], ['beuverie', 'breuvage'], ['breuvage', 'boisson'], ['buvable', 'boisson'], ['fourbu', 'boisson'], ['imbuvable', 'boisson'], ['bibition', 'boisson'], ['boire', 'boisson'], ['bu', 'boisson'], ['buvetier', 'boisson'], ['buvette', 'boisson'], ['buveur', 'boisson'], ['buveuse', 'boisson'], ['emboire', 'boisson'], ['embuvage', 'boisson'], ['impotable', 'boisson'], ['potabilité', 'boisson'], ['potable', 'boisson'], ['potion', 'boisson']]",0
S,boire,"[['bibere', 'boire'], ['beuverie', 'breuvage'], ['breuvage', 'boisson'], ['buvable', 'boisson'], ['fourbu', 'boisson'], ['imbuvable', 'boisson'], ['bibition', 'boisson'], ['boire', 'boisson'], ['bu', 'boisson'], ['buvetier', 'boisson'], ['buvette', 'boisson'], ['buveur', 'boisson'], ['buveuse', 'boisson'], ['emboire', 'boisson'], ['embuvage', 'boisson'], ['impotable', 'boisson'], ['potabilité', 'boisson'], ['potable', 'boisson'], ['potion', 'boisson']]",0
G,bois,[],1
NS,bois,"[['bosk', 'buisson'], ['busk', 'buisson'], ['buskaz', 'buisson'], ['bosc', 'bois, forêt'], ['bosc/bòsc', 'bois, forêt'], ['bosque', 'bois, forêt'], ['bosco', 'bois, forêt'], ['Busch', 'buisson'], ['bosquet', 'bois, forêt'], ['bouquet', 'bouquet'], ['bouquetier', 'bouquetier'], ['bouqueté', 'bouqueté'], ['bouvet', 'bouvet'], ['bouvetage', 'bouvetage'], ['bouveter', 'bouveter'], ['bouveteur', 'bouveteur'], ['bouveteuse', 'bouveteuse'], ['bouvier', 'bouvier'], ['bouvière', 'bouvière'], ['bovin', 'bovin'], ['boyer', 'boyer'], ['boëtte', 'boëtte'], ['bœuf', 'bœuf'], ['déboisage', 'déboisage'], ['déboiseur', 'déboiseur'], ['débouchage', 'débouchage'], ['débouchement', 'débouchement'], ['déboucher', 'déboucher'], ['déboucheur', 'déboucheur'], ['débouchonner', 'débouchonner'], ['débouché', 'débouché'], ['délignification', 'délignification'], ['délignifier', 'délignifier'], ['embouage', 'embouage'], ['embouchage', 'embouchage'], ['embouche', 'embouche'], ['emboucher', 'emboucher'], ['emboucheur', 'emboucheur'], ['embouché', 'embouché'], ['embouement', 'embouement'], ['embouer', 'embouer'], ['imbouchable', 'imbouchable'], ['ligneux', 'ligneux'], ['lignite', 'lignite'], ['ligniteux', 'ligniteux'], ['monoxyle', 'monoxyle'], ['reboisage', 'reboisage'], ['rebouchage', 'rebouchage'], ['rebouchement', 'rebouchement'], ['reboucher', 'reboucher'], ['stomatite', 'stomatite'], ['xylite', 'xylite'], ['xylène', 'xylène']]",0
