source,lemma,lang,score
G,actinique,grec ancien,1
NS,actinique,grec ancien,1
S,actinique,grec ancien,1
G,adipeux,latin,1
NS,adipeux,latin,1
S,adipeux,latin,1
G,an,,1
NS,an,latin,0
S,an,latin,0
G,antifébrile,latin,1
NS,antifébrile,Latin,1
S,antifébrile,Latin,1
G,arbre,,1
NS,arbre,latin,0
S,arbre,latin,0
G,bibition,latin,1
NS,bibition,bas latin,1
S,bibition,bas latin,1
G,boire,,1
NS,boire,latin,0
S,boire,latin,0
G,bois,,1
NS,bois,proto-germanique,0
S,bois,proto-germanique,0
G,caprin,latin,1
NS,caprin,latin,1
S,caprin,latin,1
G,cardiaque,latin,1
NS,cardiaque,latin,1
S,cardiaque,latin,1
G,carnassier,occitan,1
NS,carnassier,occitan,1
S,carnassier,occitan,1
G,caséeux,latin,1
NS,caséeux,latin,1
S,caséeux,latin,1
G,chaise,,1
NS,chaise,latin,0
S,chaise,latin,0
G,chat,,1
NS,chat,latin,0
S,chat,latin,0
G,chien,,1
NS,chien,latin,0
S,chien,latin,0
G,chthonien,grec ancien,1
NS,chthonien,grec,0.5
S,chthonien,grec,0.5
G,ciel,,1
NS,ciel,latin,0
S,ciel,latin,0
G,comestible,latin,1
NS,comestible,latin,1
S,comestible,latin,1
G,corps,,1
NS,corps,latin,0
S,corps,latin,0
G,coturnisme,latin,1
NS,coturnisme,latin,1
S,coturnisme,latin,1
G,crustacé,latin,1
NS,crustacé,latin,1
S,crustacé,latin,1
G,céleste,latin,1
NS,céleste,latin,1
S,céleste,latin,1
G,céphalaire,grec ancien,1
NS,céphalaire,grec,0.5
S,céphalaire,grec,0.5
G,cérémonie,,1
NS,cérémonie,latin,0
S,cérémonie,latin,0
G,dent,,1
NS,dent,latin,0
S,dent,latin,0
G,divitisme,latin,1
NS,divitisme,latin,1
S,divitisme,latin,1
G,eau,,1
NS,eau,latin,0
S,eau,latin,0
G,essai,,1
NS,essai,latin,0
S,essai,latin,0
G,fabisme,latin,1
NS,fabisme,latin,1
S,fabisme,latin,1
G,fauteuil,,1
NS,fauteuil,ancien français,0
S,fauteuil,ancien français,0
G,feu,,1
NS,feu,latin,0
S,feu,latin,0
G,fin,,1
NS,fin,latin,0
S,fin,latin,0
G,foliacé,latin,1
NS,foliacé,latin,1
S,foliacé,latin,1
G,funiculaire,latin,1
NS,funiculaire,,0
S,funiculaire,,0
G,gibbeux,latin,1
NS,gibbeux,latin,1
S,gibbeux,latin,1
G,gigantesque,latin,1
NS,gigantesque,italien,0
S,gigantesque,italien,0
G,gravidisme,latin,1
NS,gravidisme,,0
S,gravidisme,,0
G,groupe,,1
NS,groupe,germanique,0
S,groupe,germanique,0
G,humain,latin,1
NS,humain,latin,1
S,humain,latin,1
G,igné,latin,1
NS,igné,latin,1
S,igné,latin,1
G,jour,,1
NS,jour,latin,0
S,jour,latin,0
G,kérosène,grec ancien,1
NS,kérosène,grec,0.5
S,kérosène,grec,0.5
G,lactique,latin,1
NS,lactique,latin,1
S,lactique,latin,1
G,lait,,1
NS,lait,latin,0
S,lait,latin,0
G,lectrice,latin,1
NS,lectrice,latin,1
S,lectrice,latin,1
G,ligneux,latin,1
NS,ligneux,,0
S,ligneux,latin,1
G,lire,,1
NS,lire,latin,0
S,lire,latin,0
G,locataire,latin,1
NS,locataire,latin,1
S,locataire,latin,1
G,main,,1
NS,main,latin,0
S,main,latin,0
G,malachite,latin,1
NS,malachite,latin,1
S,malachite,latin,1
G,manger,,1
NS,manger,latin,0
S,manger,latin,0
G,marmoréen,latin,1
NS,marmoréen,latin,1
S,marmoréen,latin,1
G,mer,,1
NS,mer,,1
S,mer,,1
G,mois,,1
NS,mois,latin,0
S,mois,latin,0
G,mont,,1
NS,mont,latin,0
S,mont,latin,0
G,mot,,1
NS,mot,latin,0
