source,lemma,proc,score
G,actinique,['suffixation'],1
NS,actinique,['Composé'],0
S,actinique,['Composé'],0
G,adipeux,['suffixation'],1
NS,adipeux,['Suffixation'],1
S,adipeux,['Suffixation'],1
G,an,[],1
NS,an,[],1
S,an,[],1
G,antifébrile,"['préfixation', 'suffixation']",1
NS,antifébrile,['Composé'],0.5
S,antifébrile,['Composé'],0.5
G,arbre,[],1
NS,arbre,[],1
S,arbre,[],1
G,bibition,['suffixation'],1
NS,bibition,[],0.5
S,bibition,[],0.5
G,boire,[],1
NS,boire,[],1
S,boire,[],1
G,bois,[],1
NS,bois,[],1
S,bois,[],1
G,caprin,['suffixation'],1
NS,caprin,[],0.5
S,caprin,[],0.5
G,cardiaque,['suffixation'],1
NS,cardiaque,[],0.5
S,cardiaque,[],0.5
G,carnassier,['suffixation'],1
NS,carnassier,[],0.5
S,carnassier,[],0.5
G,caséeux,['suffixation'],1
NS,caséeux,[],0.5
S,caséeux,[],0.5
G,chaise,[],1
NS,chaise,[],1
S,chaise,[],1
G,chat,[],1
NS,chat,[],1
S,chat,[],1
G,chien,[],1
NS,chien,[],1
S,chien,[],1
G,chthonien,['suffixation'],1
NS,chthonien,[],0.5
S,chthonien,[],0.5
G,ciel,[],1
NS,ciel,[],1
S,ciel,[],1
G,comestible,['suffixation'],1
NS,comestible,[],0.5
S,comestible,[],0.5
G,corps,[],1
NS,corps,[],1
S,corps,[],1
G,coturnisme,['suffixation'],1
NS,coturnisme,[],0.5
S,coturnisme,[],0.5
G,crustacé,['suffixation'],1
NS,crustacé,[],0
S,crustacé,[],0
G,céleste,['suffixation'],1
NS,céleste,['Dérivation'],0.5
S,céleste,['Dérivation'],0.5
G,céphalaire,['suffixation'],1
NS,céphalaire,[],0
S,céphalaire,[],0
G,cérémonie,[],1
NS,cérémonie,[],1
S,cérémonie,[],1
G,dent,[],1
NS,dent,[],1
S,dent,[],1
G,divitisme,['suffixation'],1
NS,divitisme,[],0
S,divitisme,[],0
G,eau,[],1
NS,eau,[],1
S,eau,[],1
G,essai,[],1
NS,essai,[],1
S,essai,[],1
G,fabisme,['suffixation'],1
NS,fabisme,[],0
S,fabisme,[],0
G,fauteuil,[],1
NS,fauteuil,[],1
S,fauteuil,[],1
G,feu,[],1
NS,feu,['Suffixation'],0
S,feu,['Suffixation'],0
G,fin,[],1
NS,fin,[],1
S,fin,[],1
G,foliacé,['suffixation'],1
NS,foliacé,[],0
S,foliacé,[],0
G,funiculaire,['suffixation'],1
NS,funiculaire,['Suffixation'],1
S,funiculaire,['Suffixation'],1
G,gibbeux,['suffixation'],1
NS,gibbeux,[],0.5
S,gibbeux,[],0.5
G,gigantesque,['suffixation'],1
NS,gigantesque,['Dérivation'],0.5
S,gigantesque,['Dérivation'],0.5
G,gravidisme,['suffixation'],1
NS,gravidisme,['Suffixation'],1
S,gravidisme,['Suffixation'],1
G,groupe,[],1
NS,groupe,[],1
S,groupe,[],1
G,humain,['suffixation'],1
NS,humain,['Suffixation'],1
S,humain,['Suffixation'],1
G,igné,['suffixation'],1
NS,igné,[],0.5
S,igné,[],0.5
G,jour,[],1
NS,jour,[],1
S,jour,[],1
G,kérosène,['suffixation'],1
NS,kérosène,['Suffixation'],1
S,kérosène,['Suffixation'],1
G,lactique,['suffixation'],1
NS,lactique,['Suffixation'],1
S,lactique,['Suffixation'],1
G,lait,[],1
NS,lait,[],1
S,lait,[],1
G,lectrice,['suffixation'],1
NS,lectrice,[],0.5
S,lectrice,[],0.5
G,ligneux,['suffixation'],1
NS,ligneux,,0.5
S,ligneux,[],0.5
G,lire,[],1
NS,lire,[],1
S,lire,[],1
G,locataire,['suffixation'],1
NS,locataire,['savant'],0
S,locataire,['savant'],0
G,main,[],1
NS,main,[],1
S,main,[],1
G,malachite,['suffixation'],1
NS,malachite,[],0.5
S,malachite,[],0.5
G,manger,[],1
NS,manger,[],1
S,manger,[],1
G,marmoréen,['suffixation'],1
NS,marmoréen,[],0.5
S,marmoréen,[],0.5
G,mer,[],1
NS,mer,[],1
S,mer,[],1
G,mois,[],1
NS,mois,[],1
S,mois,[],1
G,mont,[],1
NS,mont,[],1
S,mont,[],1
G,mot,[],1
NS,mot,[],1
S,mot,[],1
G,myrmicéen,['suffixation'],1
NS,myrmicéen,[],0.5
S,myrmicéen,[],0.5
G,nez,[],1
NS,nez,[],1
S,nez,[],1
G,nom,[],1
NS,nom,[],1
S,nom,[],1
G,nord,[],1
NS,nord,[],1
S,nord,[],1
G,nucléé,['suffixation'],1
NS,nucléé,[],0.5
S,nucléé,[],0.5
G,nutrition,['suffixation'],1
NS,nutrition,[],0.5
S,nutrition,[],0.5
G,oblation,['suffixation'],1
NS,oblation,[],0.5
S,oblation,[],0.5
G,oiseau,[],1
NS,oiseau,[],1
S,oiseau,[],1
G,ordre,[],1
NS,ordre,[],1
S,ordre,[],1
G,ovoïde,['suffixation'],1
NS,ovoïde,['Suffixation'],1
S,ovoïde,['Suffixation'],1
G,pain,[],1
NS,pain,[],1
S,pain,[],1
G,pancalisme,['suffixation'],1
NS,pancalisme,[],0
S,pancalisme,[],0
G,patibulaire,['suffixation'],1
NS,patibulaire,[],0.5
S,patibulaire,[],0.5
G,phrase,[],1
NS,phrase,[],1
S,phrase,[],1
G,pied,[],1
NS,pied,[],1
S,pied,[],1
G,pierre,[],1
NS,pierre,[],1
S,pierre,[],1
G,plage,[],1
NS,plage,[],1
S,plage,[],1
G,polyadelphe,['préfixation'],1
NS,polyadelphe,['Préfixe'],1
S,polyadelphe,['Préfixe'],1
G,pomme,[],1
NS,pomme,[],1
S,pomme,[],1
G,porte,[],1
NS,porte,[],1
S,porte,[],1
G,potable,['suffixation'],1
NS,potable,['Suffixation'],1
S,potable,['Suffixation'],1
G,pétré,['suffixation'],1
NS,pétré,[],0.5
S,pétré,[],0.5
G,rare,[],1
NS,rare,[],1
S,rare,[],1
G,rupestre,['suffixation'],1
NS,rupestre,[],0.5
S,rupestre,[],0.5
G,région,[],1
NS,région,[],1
S,région,[],1
G,scolaire,['suffixation'],1
NS,scolaire,[],0.5
S,scolaire,[],0.5
G,sel,[],1
NS,sel,[],1
S,sel,['FAIL'],0
G,sigillaire,['suffixation'],1
NS,sigillaire,['diminutif'],0
S,sigillaire,['diminutif'],0
G,siège,[],1
NS,siège,[],1
S,siège,[],1
G,strabisme,['suffixation'],1
NS,strabisme,[],0.5
S,strabisme,[],0.5
G,studieux,['suffixation'],1
NS,studieux,[],0.5
S,studieux,[],0.5
G,sud,[],1
NS,sud,[],1
S,sud,[],1
G,table,[],1
NS,table,[],1
S,table,[],1
G,tasse,[],1
NS,tasse,[],1
S,tasse,[],1
G,terre,[],1
NS,terre,[],1
S,terre,[],1
G,thalassique,['suffixation'],1
NS,thalassique,[],0.5
S,thalassique,[],0.5
G,thélite,['suffixation'],1
NS,thélite,[],0
S,thélite,[],0
G,trousse,[],1
NS,trousse,['Deverbal'],0
S,trousse,['Deverbal'],0
G,vent,[],1
NS,vent,[],1
S,vent,[],1
G,verbe,[],1
NS,verbe,[],1
S,verbe,[],1
G,viaire,['suffixation'],1
NS,viaire,['Suffixation'],1
S,viaire,['Suffixation'],1
G,visible,['suffixation'],1
NS,visible,[],0.5
S,visible,[],0.5
G,école,[],1
NS,école,[],1
S,école,[],1
G,évier,['suffixation'],1
NS,évier,[],0.5
S,évier,[],0.5
