source,lemma,rad,score
G,actinique,actin-,1
NS,actinique,actis,0
S,actinique,actis,0
G,adipeux,adip-,1
NS,adipeux,adip-,1
S,adipeux,adip-,1
G,an,,1
NS,an,,1
S,an,,1
G,antifébrile,-fébr-,1
NS,antifébrile,antifébrile,0
S,antifébrile,antifébrile,0
G,arbre,,1
NS,arbre,ar,0
S,arbre,ar,0
G,bibition,bibit-,1
NS,bibition,,0
S,bibition,,0
G,boire,,1
NS,boire,bibere,0
S,boire,bibere,0
G,bois,,1
NS,bois,bois,0
S,bois,bois,0
G,caprin,capr-,1
NS,caprin,caprin,0
S,caprin,caprin,0
G,cardiaque,cardi-,1
NS,cardiaque,cardiaque,0
S,cardiaque,cardiaque,0
G,carnassier,carnass-,1
NS,carnassier,carnass-,1
S,carnassier,carnass-,1
G,caséeux,casé-,1
NS,caséeux,,0
S,caséeux,,0
G,chaise,,1
NS,chaise,chaise,0
S,chaise,chaise,0
G,chat,,1
NS,chat,chat,0
S,chat,chat,0
G,chien,,1
NS,chien,Canis,0
S,chien,Canis,0
G,chthonien,chthon-,1
NS,chthonien,chthón,0.5
S,chthonien,chthón,0.5
G,ciel,,1
NS,ciel,ciel,0
S,ciel,ciel,0
G,comestible,comest-,1
NS,comestible,comestible,0
S,comestible,comestible,0
G,corps,,1
NS,corps,corps,0
S,corps,corps,0
G,coturnisme,coturn-,1
NS,coturnisme,coturn,1
S,coturnisme,coturn,1
G,crustacé,crust-,1
NS,crustacé,crusta,0.5
S,crustacé,crusta,0.5
G,céleste,cél-,1
NS,céleste,ciel,0
S,céleste,ciel,0
G,céphalaire,céphal-,1
NS,céphalaire,céphal-,1
S,céphalaire,céphal-,1
G,cérémonie,,1
NS,cérémonie,cérémonie,0
S,cérémonie,cérémonie,0
G,dent,,1
NS,dent,,0
S,dent,,0
G,divitisme,divit-,1
NS,divitisme,divit-,1
S,divitisme,divit-,1
G,eau,,1
NS,eau,eau,0
S,eau,eau,0
G,essai,,1
NS,essai,essai,0
S,essai,essai,0
G,fabisme,fab-,1
NS,fabisme,,0
S,fabisme,,0
G,fauteuil,,1
NS,fauteuil,faldestoed,0
S,fauteuil,faldestoed,0
