lemma,cat,def,etym,étymologie étendue,déclinaison,fam,proc,aff,rad,etym_mean,lang,base,etym_fam
kérosène,Nom commun,"[""Mélange d’hydrocarbures produit par raffinage, qui fut longtemps utilisé comme liquide d’éclairage et sert de nos jours surtout comme carburant pour les avions et comme additif dans l'essence d'automobile.""]","['Appelé d’abord kérosine en 1862, puis kérosène à partir de 1865 ; emprunté à l’anglais kerosene, lui-même dérivé du grec κηρός kêros, « cire » avec le suffixe anglais -ene (français -ène).']",[],[],"['kérogène', 'naphte', 'pétrole', 'huile', 'essence', 'gazole', 'cirage', 'cire', 'cirer', 'cireur', 'cireuse', 'cireux', 'cirier', 'cirière', 'ciré', 'céréan', 'kérosène']",['Suffixation'],['-ène'],kêros,"[['kêros', 'cire'], ['anglais', 'kerosene']]",grec,cire,"['kérogène', 'naphte', 'pétrole', 'huile', 'essence', 'gazole', 'cirage', 'cire', 'cirer', 'cireur', 'cireuse', 'cireux', 'cirier', 'cirière', 'ciré', 'céréan']"
patibulaire,Adjectif,"['Qui concerne le gibet, qui est destiné à servir de gibet.']","['Adjectif construit sur le substantif latin patibulum (« croix », « potence », « perche »).']",[],[],"['inquiétant', 'sinistre', 'gibet', 'patibulaire']",['Suffixe'],['patibulum'],patibulaire,"[['patibulum', 'croix'], ['', '']]",latin,patibulaire,"['inquiétant', 'sinistre', 'gibet']"
lactique,Adjectif,['Qui provient du lait.'],"['Du latin lac, lactis (« lait ») avec le suffixe -ique.']","[[""Apparent√© au grec ancien Œ≥Œ¨ŒªŒ±, g√°la, Œ≥Œ¨ŒªŒ±Œ∫œÑŒøœÇ, g√°laktos (¬´ lait ¬ª), √† l'arm√©nien ancien ’Ø’°’©’∂, kat\xa0ªn (¬´ lait ¬ª) via son variant *’Ø’°’≤÷Å (*ka≈Çc\xa0ª), √† l'hittite \uf8ffíÇµ\uf8ffíÜ∑\uf8ffíÄù\uf8ffíãª, galaktar (¬´ baume, r√©sine ¬ª), √† l'albanais dhall√´ (¬´ beurre ¬ª), le nominatif archa√Øque‚ÄØ^([1]) est lacte. Le mot est parfois masculin : habere lactem venui : avoir du lait √† vendre ‚Äî (Apul√©e. M. 8, 19). Le suc de certaines plantes √©tait assimil√© au lait, de l√† lactuca (¬´ laitue ¬ª). Le grec Œ≥Œ¨ŒªŒ±Œ∫œÑŒøœÇ est probablement pour *glaktos, et la forme primitive √©tait *glak- plut√¥t que *glakt-, vu le d√©riv√© latin dƒìlicus (¬´ sevr√© ¬ª) qui est pour *dƒì-lak-os ou la forme hom√©rique Œ≥ŒªŒ¨Œ≥ŒøœÇ, gl√°gos.""], 'Lait.']","[{'form': 'lacta', 'tags': ['plural', 'nominative']}, {'form': 'lacta', 'tags': ['plural', 'vocative']}, {'form': 'lacta', 'tags': ['plural', 'accusative']}, {'form': 'lactis', 'tags': ['singular', 'genitive']}, {'form': 'lactum', 'tags': ['plural', 'genitive']}, {'form': 'lactƒ´', 'tags': ['singular', 'dative']}, {'form': 'lactibus', 'tags': ['plural', 'dative']}, {'form': 'lactƒï', 'tags': ['singular', 'ablative']}, {'form': 'lactibus', 'tags': ['plural', 'ablative']}]","['alactique', 'lactiquement', 'paralactique', 'lacticémie', 'nancéique', 'zymique', 'zumique', 'lactique']",['Suffixation'],"['lac', 'gl-']",lact-,"[['lac', 'lait'], ['Œ≥Œ¨ŒªŒ±', 'beurre'], ['kat\\xa0ªn', 'lait'], ['galaktar', 'baume, r√©sine'], ['glaktos', 'lait'], ['dƒìlicus', 'sevr√©']]",latin,lact-,"['alactique', 'lactiquement', 'paralactique', 'lacticémie', 'nancéique', 'zymique', 'zumique']"
lait,Nom commun,"['Liquide produit par les glandes mammaires des femelles de mammifères pendant la période de lactation qui suit la parturition, et destiné à nourrir les bébés lors de l’allaitement.']","['Du latin lac, lactis (« lait »).']","[[""Apparent√© au grec ancien Œ≥Œ¨ŒªŒ±, g√°la, Œ≥Œ¨ŒªŒ±Œ∫œÑŒøœÇ, g√°laktos (¬´ lait ¬ª), √† l'arm√©nien ancien ’Ø’°’©’∂, kat\xa0ªn (¬´ lait ¬ª) via son variant *’Ø’°’≤÷Å (*ka≈Çc\xa0ª), √† l'hittite \uf8ffíÇµ\uf8ffíÜ∑\uf8ffíÄù\uf8ffíãª, galaktar (¬´ baume, r√©sine ¬ª), √† l'albanais dhall√´ (¬´ beurre ¬ª), le nominatif archa√Øque‚ÄØ^([1]) est lacte. Le mot est parfois masculin : habere lactem venui : avoir du lait √† vendre ‚Äî (Apul√©e. M. 8, 19). Le suc de certaines plantes √©tait assimil√© au lait, de l√† lactuca (¬´ laitue ¬ª). Le grec Œ≥Œ¨ŒªŒ±Œ∫œÑŒøœÇ est probablement pour *glaktos, et la forme primitive √©tait *glak- plut√¥t que *glakt-, vu le d√©riv√© latin dƒìlicus (¬´ sevr√© ¬ª) qui est pour *dƒì-lak-os ou la forme hom√©rique Œ≥ŒªŒ¨Œ≥ŒøœÇ, gl√°gos.""], 'Lait.']","[{'form': 'lacta', 'tags': ['plural', 'nominative']}, {'form': 'lacta', 'tags': ['plural', 'vocative']}, {'form': 'lacta', 'tags': ['plural', 'accusative']}, {'form': 'lactis', 'tags': ['singular', 'genitive']}, {'form': 'lactum', 'tags': ['plural', 'genitive']}, {'form': 'lactƒ´', 'tags': ['singular', 'dative']}, {'form': 'lactibus', 'tags': ['plural', 'dative']}, {'form': 'lactƒï', 'tags': ['singular', 'ablative']}, {'form': 'lactibus', 'tags': ['plural', 'ablative']}]","['allaiter', 'allaitement', 'lachère', 'laitage', 'laitance', 'laiterie', 'laiteux', 'laitier', 'laitière', 'albumen', 'latex', 'laitue', 'délaitage', 'délaitement', 'délaiter', 'délaiteuse', 'galactite', 'lactaire', 'lacté', 'lait']",[],['latin'],lac,"[['latin', 'lac', 'Liquide produit par les glandes mammaires des femelles de mammifères pendant la période de lactation qui suit la parturition, et destiné à nourrir les bébés lors de l’allaitement.'], ['grec ancien', 'Œ≥Œ¨ŒªŒ±', '¬´ lait ¬ª'], ['arménien ancien', ""'Ø’°’©’∂"", '¬´ lait ¬ª'], ['hittite', '\\uf8ffíÇµ\\uf8ffíÜ∑\\uf8ffíÄù\\uf8ffíãª', '¬´ baume, r√©sine ¬ª'], ['albanais', 'dhall√´', '¬´ beurre ¬ª']]",latin,lait,"['allaiter', 'allaitement', 'lachère', 'laitage', 'laitance', 'laiterie', 'laiteux', 'laitier', 'laitière', 'albumen', 'latex', 'laitue', 'délaitage', 'délaitement', 'délaiter', 'délaiteuse', 'galactite', 'lactaire', 'lacté', 'lait']"
pain,Nom commun,"['Pâte cuite au four, à base de farine, d’eau et de levure de boulanger ou de levain.']","['Du moyen français pain, de l’ancien français pain, pan, du latin panem, accusatif singulier de panis (« pain »). Le pain désigne dès l’origine le résultat de la cuisson de la matière panifiable, c’est-à-dire une pâte levée à base de farine et de levain. Aussi dès le XIIᵉ siècle, il existe une grande diversité de formes de pains, à savoir les boules, les boulots, les ficelles, les épis, les tourons, les bâtards, les fougasses, les saucisses ou saucissons, les baguettes, etc.', 'Le sens (9), de personne que l’on désire, pourrait avoir transité par le nouchi où le mot « pain » désigne une personne craquante, donc un joli garçon où une jolie fille.']",['Accusatif singulier de panis.'],[],"['carnipain', 'copain', 'croustipain', 'saucipain', 'brignolet', 'companage', 'panaire', 'panasserie', 'pané', 'paner', 'panetière', 'panière', 'paneton', 'panivore', 'panure', 'grigne', 'baguette', 'bannette', 'déjeunette', 'ficelle', 'flute', 'flûte', 'dépannage', 'dépanner', 'dépannette', 'dépanneur', 'dépanneuse', 'empannage', 'empanner', 'khobisme', 'pain', 'panage', 'panetier', 'panette', 'panier', 'paniette', 'panifiable', 'panificateur', 'panification', 'panifier', 'panne', 'pannelette', 'pannette', 'panné']",[],['pan-'],pain,"[['panis', 'pain'], ['panem', 'pain']]",latin,pain,"['carnipain', 'copain', 'croustipain', 'saucipain', 'brignolet', 'companage', 'panaire', 'panasserie', 'pané', 'paner', 'panetière', 'panière', 'paneton', 'panivore', 'panure', 'grigne', 'baguette', 'bannette', 'déjeunette', 'ficelle', 'flute', 'flûte', 'dépannage', 'dépanner', 'dépannette', 'dépanneur', 'dépanneuse', 'empannage', 'empanner', 'khobisme', 'panage', 'panetier', 'panette', 'panier', 'paniette', 'panifiable', 'panificateur', 'panification', 'panifier', 'panne', 'pannelette', 'pannette', 'panné']"
bois,Nom commun,['Substance dure et fibreuse des arbres.'],"['Du moyen français bois, de l’ancien français bois, du bas latin boscus, du vieux-francique *busk, du proto-germanique occidental *busk, du proto-germanique *buskaz.', 'Apparenté à l’occitano-roman bosc/bòsc (« bois, forêt »), à l’espagnol bosque (« bois, forêt »), à l’italien bosco (« bois, forêt »), à l’allemand Busch (« buisson »), au néerlandais bos (« bois, forêt ») et à l’anglais bush (« buisson »).']",[],[],"['antebois', 'antébois', 'antibois', 'becquebois', 'boisage', 'boisé', 'boisement', 'boiser', 'boiserie', 'boisette', 'boiseur', 'boiseux', 'boisilleur', 'déboisé', 'déboisement', 'déboiser', 'déboiseuse', 'emboiser', 'étibois', 'hautbois', 'reboisement', 'reboiser', 'reboiseur', 'sainbois', 'xylographie', 'bois', 'boise', 'boisilier', 'boitte', 'bosquet', 'bouc', 'bouchable', 'bouchage', 'bouche', 'bouchelette', 'bouchement', 'boucher', 'bouchette', 'boucheur', 'boucheuse', 'bouchère', 'bouché', 'boue', 'bouette', 'boueur', 'boueux', 'bouquet', 'bouqueter', 'bouquetier', 'bouqueté', 'bouvet', 'bouvetage', 'bouveter', 'bouveteur', 'bouveteuse', 'bouvier', 'bouvière', 'bovin', 'bovinité', 'boyer', 'boëtte', 'bœuf', 'déboisage', 'déboiseur', 'débouchage', 'débouchement', 'déboucher', 'déboucheur', 'débouchonner', 'débouché', 'délignification', 'délignifier', 'embouage', 'embouchage', 'embouche', 'emboucher', 'emboucheur', 'embouché', 'embouement', 'embouer', 'imbouchable', 'ligneux', 'lignite', 'ligniteux', 'monoxyle', 'reboisage', 'rebouchage', 'rebouchement', 'reboucher', 'stomatite', 'xylite', 'xylène']",[],['*'],bois,"[['bosk', 'substance dure et fibreuse des arbres'], ['busk', 'substance dure et fibreuse des arbres'], ['bosc', 'bois, forêt'], ['bosque', 'bois, forêt'], ['bosco', 'bois, forêt'], ['busch', 'buisson'], ['bosquet', 'bois, forêt'], ['bouquet', 'bouquet'], ['bouquetier', 'bouquetier'], ['bois', 'Substance dure et fibreuse des arbres'], ['boise', 'bois'], ['boisilier', 'boisilier'], ['boitte', 'boîte'], ['bouchette', 'bouche'], ['bouche', 'bouche'], ['bouchelette', 'bouche'], ['bouchement', 'bouchage'], ['bouchage', 'bouchage'], ['bouche', 'bouche'], ['bouchette', 'bouche'], ['boucheur', 'boucheur'], ['boucheuse', 'boucheuse'], ['bouchère', 'bouchère'], ['bouché', 'bouché'], ['boue', 'boue'], ['bouette', 'bouette'], ['boueur', 'boueur'], ['boueux', 'boueux'], ['bouquet', 'bouquet'], ['bouqueter', 'bouquetier'], ['bouquetier', 'bouquetier'], ['bouqueté', 'bouqueté'], ['bouvet', 'bouvet'], ['bouvetage', 'bouvetage'], ['bouveter', 'bouveter'], ['bouveteur', 'bouveteur'], ['bouveteuse', 'bouveteuse'], ['bouvier', 'bouvier'], ['bouvière', 'bouvière'], ['bovin', 'bovin'], ['bovinité', 'bovinité'], ['boyer', 'boyer'], ['boëtte', 'boëtte'], ['bœuf', 'bœuf'], ['déboisage', 'déboisage'], ['déboiseur', 'déboiseur'], ['débouchage', 'débouchage'], ['débouchement', 'débouchement'], ['déboucher', 'déboucher'], ['déboucheur', 'déboucheur'], ['débouchonner', 'déboucher'], ['débouché', 'débouché'], ['délignification', 'délignification'], ['délignifier', 'délignifier'], ['embouage', 'embouage'], ['embouchage', 'embouchage'], ['embouche', 'embouche'], ['emboucher', 'emboucher'], ['emboucheur', 'emboucheur'], ['embouché', 'embouché'], ['embouement', 'embouement'], ['embouer', 'embouer'], ['imbouchable', 'imbouchable'], ['ligneux', 'ligneux'], ['lignite', 'lignite'], ['ligniteux', 'ligniteux'], ['monoxyle', 'monoxyle'], ['reboisage', 'reboisage'], ['rebouchage', 'rebouchage'], ['rebouchement', 'rebouchement'], ['reboucher', 'reboucher'], ['stomatite', 'stomatite'], ['xylite', 'xylite'], ['xylène', 'xylène']]",proto-germanique,bois,"['antebois', 'antébois', 'antibois', 'becquebois', 'boisage', 'boisé', 'boisement', 'boiser', 'boiserie', 'boisette', 'boiseur', 'boiseux', 'boisilleur', 'déboisé', 'déboisement', 'déboiser', 'déboiseuse', 'emboiser', 'étibois', 'hautbois', 'reboisement', 'reboiser', 'reboiseur', 'sainbois', 'xylographie']"
an,Nom commun,['Temps que met la Terre à accomplir une révolution autour du Soleil et qui se divise en douze mois. Année (voir Notes plus bas).'],"['Du latin annus (« cercle, an, âge, récolte de l’année »).']","[['Le Dictionnaire étymologique latin explique :', ""Annus est pour *am-nus (on retrouve le groupe /mn/ dans sollemnis) et signifiait d’abord « cercle » comme l’atteste Varron : magni dicebantur circites anni, unde annus (« les grands cercles s'appelaient anni, d'où année »). Ce sens est attesté par le diminutif annulus et par l’osque où amnud est un adverbe signifiant « circum, circa ». Un composé du même genre que sollemnis est perennis (« qui dure toute l'année », « perpétuel »). Annona, est un nom construit comme Bellona, Pomona, elle a été une divinité présidant aux récoltes de l’année et comparable aux pénates. Par antonomase, le mot a ensuite signifié « approvisionnement »."", 'Julius Pokorny, le fait dériver de l’indo-européen commun *at (« aller, année »)\u202f^([1]), dérivé de la racine indo-européenne qui donne eo (« aller ») → voir itum son supin - soit une construction at-men-us qui permet un élégant rapprochement, toujours via les profondes racines indo-européennes de ce verbe « aller » irrégulier, avec l’allemand Jahr, l’anglais year (en gothique : *je:ram), le tchèque jaro.', 'Le sens initial aurait donc pu être « voyage (des astres dans le ciel) », d’où « grand cercle (décrit par les astres dans le ciel) », puis « année ».'], 'Cercle, révolution circulaire.']","[{'form': 'annī', 'tags': ['plural', 'nominative']}, {'form': 'anne', 'tags': ['singular', 'vocative']}, {'form': 'annī', 'tags': ['plural', 'vocative']}, {'form': 'annum', 'tags': ['singular', 'accusative']}, {'form': 'annōs', 'tags': ['plural', 'accusative']}, {'form': 'annī', 'tags': ['singular', 'genitive']}, {'form': 'annōrum', 'tags': ['plural', 'genitive']}, {'form': 'annō', 'tags': ['singular', 'dative']}, {'form': 'annīs', 'tags': ['plural', 'dative']}, {'form': 'annō', 'tags': ['singular', 'ablative']}, {'form': 'annīs', 'tags': ['plural', 'ablative']}]","['année', 'lustre', 'olympiade', 'siècle', 'annal', 'annalité', 'annuaire', 'annualité', 'annuel', 'décennaire', 'pluriannuel', 'quadriennal', 'quartanier', 'quartannier', 'semi-annuel', 'septennalisme', 'triennal', 'trisannuel', 'an']",['at-men-us'],"['am-', 'ann-']",annus,"[['am-', 'cercle'], ['annus', 'an'], ['perennis', 'perpetuel'], ['Jahr', 'année'], ['year', 'année'], ['je:ram', 'année'], ['jaro', 'année']]",latin,annus,"['année', 'lustre', 'olympiade', 'siècle', 'annal', 'annalité', 'annuaire', 'annualité', 'annuel', 'décennaire', 'pluriannuel', 'quadriennal', 'quartanier', 'quartannier', 'semi-annuel', 'septennalisme', 'triennal', 'trisannuel', 'an']"
strabisme,Nom commun,"['Disposition anormale des yeux, qui ne leur permet pas d’être dirigés en même temps sur le même objet.']","['Du grec ancien στραβισμός, strabismos, issu de στραβίζω, strabizô (« loucher »), de στραβός, strabos (« qui louche »).']","[['De στραβίζω, strabizô (« loucher »), de στραβός, strabos (« tordu\u202f», «\u202fqui louche »).'], 'Action de loucher, strabisme.']",[],"['strabique', 'biglouche', 'louchement', 'loucherie', 'strabotomie', 'strabotomiste', 'orthopie', 'louche', 'loucher', 'louchet', 'louchette', 'loucheur', 'loucheuse', 'strabisme']",[],['strab-'],,"[['strab-', 'loucher'], ['strab-', 'qui louche']]",grec,strab-,"['strabique', 'biglouche', 'louchement', 'loucherie', 'strabotomie', 'strabotomiste', 'orthopie', 'louche', 'loucher', 'louchet', 'louchette', 'loucheur', 'loucheuse']"
nord,Nom commun,"[""Celui des quatre points cardinaux opposé au sud et qui correspond à la direction de l’étoile polaire ; direction du pôle de l'hémisphère boréal et correspondant à l'azimut 360°.""]","['Du vieil anglais norþ, lui-même issu du proto-germanique *nurtha de *ner (gauche [au lever du soleil]).', 'Note : Employé d’abord en Normandie d’où il est progressivement passé dans l’usage des autres régions.']",[],[],"['Noratlas', 'nordique', 'nordir', 'nordiste', 'septentrion', 'sud', 'nord', 'nordet', 'nordette', 'nordicisme', 'nordiciste', 'nordicité', 'nordien', 'nordisme', 'norditude', 'nordé', 'norrois', 'Nord', 'Nordien', 'Nordiste', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Nord']",[],['*'],nor,"[['vieil anglais', 'celui des quatre points cardinaux opposé au sud'], ['proto-germanique', 'gauche [au lever du soleil]']]",vieil anglais,nor,"['Noratlas', 'nordique', 'nordir', 'nordiste', 'septentrion', 'sud', 'nord', 'nordet', 'nordette', 'nordicisme', 'nordiciste', 'nordicité', 'nordien', 'nordisme', 'norditude', 'nordé', 'norrois', 'Nord', 'Nordien', 'Nordiste', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Nord']"
lire,Verbe,['Interpréter des informations écrites sous forme de mots ou de dessins sur un support.'],"['Du latin lĕgĕre (« id. »), proprement «\u202frecueillir\u202f»']",['Infinitif de lego.'],[],"['délire', 'entrelire', 'lisage', 'liseur', 'liseuse', 'relire', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorat', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette', 'lire', 'lisant', 'lisette', 'lisibilité', 'lisible', 'lu', 'relecture', 'relu', 'réélecter', 'réélection', 'rééligibilité', 'rééligible', 'réélire', 'réélu', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice', 'élider', 'éligibilité', 'éligible', 'élire', 'élision', 'élitaire', 'élite', 'élitique', 'élitisme', 'élitiste', 'élu', 'Lion', 'Lionnette']",[],['lego'],,[],latin,lègere,"['délire', 'entrelire', 'lisage', 'liseur', 'liseuse', 'relire', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorat', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette', 'lire', 'lisant', 'lisette', 'lisibilité', 'lisible', 'lu', 'relecture', 'relu', 'réélecter', 'réélection', 'rééligibilité', 'rééligible', 'réélire', 'réélu', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice', 'élider', 'éligibilité', 'éligible', 'élire', 'élision', 'élitaire', 'élite', 'élitique', 'élitisme', 'élitiste', 'élu', 'Lion', 'Lionnette']"
