lemma,cat,def,etym,fam,proc,aff,rad,etym_mean,lang,base,etym_fam
eolico,Aggettivo,['che riguarda il vento'],['(vento) dal nome di Eolo re dei venti'],['eolio'],[],['dal'],,"[['Eolo', 're dei venti'], ['vento', 'vento']]",italien,eolio,[]
pluviale,Aggettivo,['che riguarda la pioggia'],['dal latino pluvia'],[],[],['-ale'],pluvi,"[['pluvia', 'relatif à la pluie']]",latino,pluvial,[]
adiposo,Aggettivo,['ricco di adipe; grasso'],['da adipe'],"['adipe', 'adipico', 'adiposità', 'corpulento', 'grasso', 'obeso', 'pingue', 'magro']",['dérivé'],['adipe'],adip-,"[['adipe', 'graisses']]",latine,adiposo,"['adipe', 'adipico', 'adiposità']"
igneo,Aggettivo,['relativo al fuoco'],"['dal latino igneus, derivato di ignis, fuoco']",[],[],['eus'],igne,"[['ignis', 'fuoco']]",latino,igneo,[]
insulare,Aggettivo,"[""dell'isola, di isola""]",['dal latino insulāris derivato da insŭla isola'],['isolano'],['derivato'],['insŭla'],insul,"[['insŭla', 'isola']]",latino,null,[]
equino,Aggettivo,['relativo ai cavalli'],"['al latino equinus che deriva da equus cioè ""«cavallo"" ']","['cavallo', 'asino', 'mulo', 'equestre', 'cavallino', 'equinismo']",['affixe'],['-ino'],equi,"[['equus', 'cavallo']]",latino,equi,"['cavallo', 'asino', 'mulo', 'equestre', 'cavallino']"
cardiaco,Aggettivo,['che è relativo al cuore'],"['dal latino cardiăcus, che deriva dal greco antico καρδία cioè ""cuore""']","['endocardiaco', 'cordiaco']",['affixe'],['-aco'],cardi-,"[['καρδία', 'cuore'], ['καρδίακος', 'relativo al cuore']]",greco antico,cardi-,"['endocardiaco', 'cordiaco']"
bovino,Aggettivo,"['relativo a o derivato da buoi, mucche etc.']","['dal latino tardo bovīnus, derivazione di bos cioè ""bove""']",[],['derivato'],['inus'],bovi,"[['bos', 'bero']]",latino,bovino,[]
epatico,Aggettivo,['relativo al fegato'],"['dal latino hepatĭcus, a sua volta dal greco ἡπατικός, che deriva dal greco antico ἧπαρ -ατος cioè ""fegato""']","['enteroepatico', 'gastroepatico', 'intraepatico', 'sopraepatico']",['affixe'],['-icus'],epat,"[[' hepatĭcus', 'relatif au fegato'], [' ἡπατικός', 'relatif au fegato'], [' ἧπαρ -ατος', 'fegato']]",latin,epatico,"['enteroepatico', 'gastroepatico', 'intraepatico', 'sopraepatico']"
commestibile,Aggettivo,['che si può mangiare'],"['dal latino tardo comestibĭlis, che deriva da comestus, participio passato di comedĕre ossia mangiare']","['alimentare', 'digeribile', 'edule', 'mangereccio', 'mangiabile', 'nutriente', 'nutritivo', 'accettabile', 'avariato', 'guasto', 'immangiabile', 'indigeribile', 'velenoso']",['derivé'],"['tardo', 'comestib-', 'comestus', 'comed-']",comest,"[['comestus', 'mangiateux'], ['comed-', 'manger']]",latin,comestibilis,"['alimentare', 'digeribile', 'edule', 'mangereccio', 'mangiabile', 'nutriente', 'nutritivo']"
encefalico,Aggettivo,"[""inerente all'encefalo""]","['deriva da encefalo, dal greco ἐγκέϕαλος cioè ""che è dentro la testa""']",[],[],['ico'],encefalo,"[['encephalo', 'che è dentro la testa']]",greco,encephale,[]
luminoso,Aggettivo,['che emette luce'],"['dal latino luminosus, che deriva da lumen cioè ""lume""']","['brillante', 'fulgido', 'lucente', 'rilucente', 'risplendente', 'sfavillante', 'sfolgorante', 'smagliante', 'luccicante', 'scintillante', 'splendente', 'splendido', 'fosforescente', 'luminescente', 'iridescente', 'arioso', 'chiaro', 'illuminato', 'limpido', 'soleggiato', 'trasparente', 'ammirevole', 'elevato', 'geniale', 'lodevole', 'evidente', 'innegabile', 'lampante', 'chiaro', 'palese', 'manifesto', 'inconfutabile', 'straordinario', 'eccellente', 'nobile', 'esemplare', 'lodevole', 'encomiabile', 'educativo', 'felice', 'gioioso', 'ridente', 'radioso', 'mirabile', 'appannato', 'offuscato', 'opaco', 'buio', 'scuro', 'tenebroso', 'annebbiato', 'confuso', 'oscuro', 'dubbio', 'incerto', 'ambiguo', 'equivoco', 'basso', 'vile', 'ignobile', 'spregevole', 'triste', 'infelice', 'depresso', 'censurabile', 'riprovevole', 'luminosamente', 'luminosità']",['derivé'],['-osus'],lumin,"[['lumen', 'lume'], ['-osus', 'qui a']]",latin,luminoso,"['brillante', 'fulgido', 'lucente', 'rilucente', 'risplendente', 'sfavillante', 'sfolgorante', 'smagliante', 'luccicante', 'scintillante', 'splendente', 'splendido', 'fosforescente', 'luminescente', 'iridescente']"
celeste,Aggettivo,['di o relativo al cielo'],"['dal latino caelestis, ossia ""del cielo""']","['celesta', 'celestiale', 'celestina', 'celestino', 'azzurro', 'ceruleo', 'cilestrino', 'blu', 'turchino', 'divino', 'spirituale', 'ultraterreno', 'soprannaturale', 'sovrumano', 'paradisiaco', 'solenne', 'sublime', 'angelico', 'soave', 'celestiale', 'trascendente', 'superno', 'terreno', 'terrestre', 'mondano', 'umano']",[],['caelest-'],,"[['caelestis', 'del cielo']]",latino,celeste,[]
potabile,Aggettivo,['che si può bere senza avvelenarsi o intossicarsi'],"['dal latino tardo potabilis derivazione del verbo potare, ossia ""bere""; si noti la somiglianza col greco πίνω']","['potabilizzare', 'potabilizzato', 'bevibile', 'puro', 'pulito', 'passabile', 'imbevibile', 'inquinato']",['derivazione'],['-ilis'],potab,"[['potare', 'bere'], ['potabilis', 'che si può bere']]",latino,potabile,"['potabilizzare', 'potabilizzato']"
aviario,Aggettivo,['che è attinente agli uccelli'],"['dal latino aviarius e aviarium, derivazione di avis cioè ""uccello""']",[],[],"['arius', 'arium']",avi-,"[['avis', 'uccello']]",latino,aviario,[]
bellico,Aggettivo,['che riguarda la guerra'],"['dal latino bellicus derivazione bellum, ""guerra""']","['guerresco', 'militare', 'militarizzato', 'antibellico', 'pacifico', 'prebellico']",['derivazione'],['-icus'],bell,"[['bellum', 'guerra'], ['-icus', 'che riguarda']]",latino,bellico,"['guerresco', 'militare', 'militarizzato', 'antibellico', 'pacifico', 'prebellico']"
